date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-28;bmo;0.81;0.81;-0.24
2020-03-31;bmo;0.54;0.52;4.58
2020-06-25;bmo;0.74;0.58;27.15
2020-09-29;bmo;0.77;0.76;0.51
2021-01-28;bmo;0.79;0.82;-3.76
2021-03-30;bmo;0.72;0.58;23.15
2021-07-01;bmo;0.69;0.62;10.44
2021-09-30;bmo;0.8;0.72;10.94
2022-01-27;bmo;0.84;0.8;4.99
2022-03-29;bmo;0.63;0.62;1.89
2022-06-29;bmo;0.48;0.65;-26.12
2022-10-06;bmo;0.69;0.65;6.34
2023-01-26;bmo;0.73;0.87;-15.73
2023-03-28;bmo;0.59;0.5;17.94
2023-06-29;bmo;0.6;0.57;4.76
2023-10-03;bmo;0.65;0.65;-0.45
2024-01-25;bmo;0.85;0.79;7.11
2024-03-26;bmo;0.63;0.57;9.87
2024-06-27;bmo;0.69;0.59;17.3
2024-10-01;bmo;0.83;0.67;23.25
2025-01-23;bmo;0.8;0.77;4.3
2025-03-25;bmo;0.6;0.64;-6.85
2025-06-26;bmo;0.69;0.65;5.7
2025-10-07;bmo;0.85;0.82;4.15
2026-01-22;bmo;0.84;0.88;-4.55
2026-03-31;bmo;0.66;0.6;10.66
