date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-28;amc;1.2;1.07;11.71
2020-04-28;amc;1.54;1.24;24.62
2020-07-29;amc;1.62;1.18;36.89
2020-10-27;amc;1.93;1.78;8.7
2021-01-27;amc;2.34;2.02;15.83
2021-04-26;amc;2.56;2.2;16.11
2021-07-28;amc;3.02;2.95;2.33
2021-10-27;amc;2.79;2.77;0.88
2022-01-26;amc;3.02;2.85;6.0
2022-04-26;amc;2.71;2.6;4.19
2022-07-27;amc;2.59;2.31;12.34
2022-11-02;amc;2.74;2.45;11.93
2023-02-27;amc;2.0;1.34;49.66
2023-05-03;amc;0.48;-0.18;367.31
2023-08-02;amc;1.32;1.17;13.11
2023-11-01;amc;1.46;1.02;42.89
2024-02-07;amc;1.17;0.84;38.66
2024-05-08;amc;1.18;0.74;59.25
2024-08-07;amc;1.53;1.04;46.89
2024-11-06;amc;1.72;1.45;18.76
2025-02-12;amc;2.15;1.96;9.96
2025-05-07;amc;1.71;1.45;17.53
2025-08-06;amc;1.77;1.64;8.06
2025-11-05;amc;1.93;1.85;4.08
2026-02-17;amc;2.47;2.46;0.3
