date;timing;eps_actual;eps_estimated;surprise_pct
2020-03-04;amc;0.17;0.16;4.65
2020-05-28;amc;0.18;0.14;26.79
2020-08-27;amc;0.21;0.2;3.88
2020-12-03;amc;0.25;0.25;0.06
2021-03-03;amc;0.29;0.29;-0.37
2021-06-07;amc;0.29;0.27;6.21
2021-08-26;amc;0.34;0.31;8.46
2021-12-02;amc;0.43;0.38;12.15
2022-03-03;amc;0.5;0.48;3.55
2022-05-26;amc;0.52;0.51;1.34
2022-08-25;amc;0.57;0.56;0.9
2022-12-01;amc;0.57;0.59;-3.03
2023-03-02;amc;0.46;0.47;-1.8
2023-05-25;amc;0.31;0.29;5.76
2023-08-24;amc;0.33;0.32;1.93
2023-11-30;amc;0.41;0.4;2.21
2024-03-07;amc;0.46;0.46;-0.82
2024-05-30;amc;0.24;0.24;0.7
2024-08-29;amc;0.3;0.29;2.28
2024-12-03;amc;0.43;0.41;5.53
2025-03-05;amc;0.6;0.59;1.57
2025-05-29;amc;0.62;0.61;1.11
2025-08-28;amc;0.67;0.67;-0.51
2025-12-02;amc;0.76;0.74;3.01
2026-03-05;amc;0.8;0.79;1.05
