date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-07;bmo;3.93;1.91;106.05
2020-05-11;bmo;-0.96;0.4;-342.73
2020-08-14;bmo;-3.27;-2.35;-39.37
2020-11-09;bmo;-1.11;-0.66;-67.49
2021-02-03;bmo;-1.68;-1.4;-19.57
2021-05-05;bmo;0.22;-1.6;113.75
2021-08-19;bmo;2.03;-0.85;338.54
2021-11-09;amc;-0.68;-0.89;23.31
2022-02-03;bmo;0.65;0.99;-34.27
2022-05-05;bmo;1.0;1.68;-40.56
2022-08-18;bmo;1.11;-0.43;360.15
2022-10-27;bmo;-0.73;-1.11;34.09
2023-02-07;bmo;0.84;1.19;-29.3
2023-05-04;bmo;2.18;2.07;5.43
2023-08-17;bmo;-0.39;-0.33;-17.07
2023-11-02;bmo;-0.79;-1.52;48.11
2024-02-06;bmo;0.59;0.45;32.58
2024-05-02;bmo;1.57;2.77;-43.36
2024-08-13;bmo;1.06;0.11;903.79
2024-11-01;bmo;-0.31;-0.78;60.17
2025-02-04;bmo;0.05;0.32;-84.37
2025-05-02;bmo;-0.59;1.48;-139.93
2025-08-12;bmo;-0.07;-0.34;79.41
2025-10-31;bmo;-0.37;-1.16;68.01
2026-02-05;bmo;0.34;0.43;-20.65
