date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-08;bmo;1.21;1.17;3.13
2020-04-08;bmo;1.0;1.0;0.02
2020-07-08;bmo;1.4;1.25;11.61
2020-10-27;bmo;1.09;0.94;15.54
2021-01-06;bmo;1.1;1.09;1.24
2021-04-07;bmo;1.03;1.02;0.57
2021-07-07;bmo;1.42;1.39;2.16
2021-10-20;bmo;1.26;1.28;-1.25
2021-12-22;bmo;1.25;1.2;4.22
2022-03-30;bmo;1.29;1.23;5.08
2022-06-29;bmo;1.82;1.74;4.73
2022-10-20;bmo;1.79;1.75;2.11
2023-01-05;bmo;1.48;1.47;1.02
2023-04-04;bmo;1.45;1.36;6.79
2023-06-29;bmo;1.74;1.74;0.01
2023-10-25;bmo;1.64;1.62;1.35
2024-01-09;bmo;1.25;1.3;-3.82
2024-03-28;bmo;1.18;1.16;2.04
2024-07-02;bmo;1.33;1.33;0.17
2024-10-24;bmo;1.03;1.07;-3.89
2025-01-08;bmo;0.86;0.73;18.27
2025-04-03;bmo;0.72;0.72;-0.46
2025-07-01;bmo;1.08;1.03;5.12
2025-10-23;bmo;1.09;1.03;6.3
2026-01-07;bmo;0.99;0.95;4.76
2026-04-01;bmo;0.82;0.84;-1.94
