date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-28;amc;0.12;0.08;43.03
2020-04-28;amc;0.01;0.02;-63.31
2020-07-28;amc;0.04;0.04;-12.5
2020-10-27;amc;-0.15;0.04;-477.36
2021-01-28;amc;0.03;0.16;-83.29
2021-04-29;amc;-1.14;-0.1;-1033.31
2021-07-29;amc;0.17;0.1;71.14
2021-10-28;amc;0.19;0.12;49.7
2022-02-01;amc;-0.01;0.15;-105.93
2022-05-03;amc;-1.04;-0.21;-397.37
2022-08-02;amc;-9.28;-0.08;-10883.43
2022-11-01;amc;-0.1;0.1;-194.12
2023-02-02;amc;-2.19;;-109750.0
2023-05-01;amc;3.18;-0.13;2564.34
2023-08-01;amc;0.15;-0.05;392.31
2023-11-01;amc;-0.9;0.07;-1401.45
2024-02-06;amc;0.56;0.02;2534.79
2024-04-29;amc;-0.31;-0.08;-306.58
2024-08-01;amc;-0.76;-0.02;-3444.19
2024-10-30;amc;-1.56;-0.02;-9354.55
2025-02-05;amc;-3.03;-0.08;-3507.14
2025-05-01;amc;-16.49;-0.11;-14890.91
2025-07-31;amc;32.52;21.48;51.4
2025-10-30;amc;8.42;9.67;-12.95
2026-02-05;amc;-42.93;-20.99;-104.53
