date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-06;amc;7.78;7.7;1.02
2020-05-07;amc;4.0;3.83;4.46
2020-07-30;amc;5.29;4.22;25.38
2020-11-05;amc;7.02;5.99;17.14
2021-02-04;amc;9.26;8.76;5.75
2021-05-06;amc;6.56;5.61;16.9
2021-07-29;amc;8.1;7.62;6.28
2021-11-04;amc;8.72;8.28;5.34
2022-02-10;amc;10.53;10.11;4.2
2022-05-05;amc;7.87;7.28;8.06
2022-07-28;amc;9.39;8.77;7.04
2022-11-03;amc;10.18;9.83;3.53
2023-02-09;amc;12.1;11.68;3.57
2023-05-04;amc;8.69;8.61;0.94
2023-07-27;amc;10.19;9.98;2.15
2023-11-09;amc;9.8;9.87;-0.67
2024-02-08;amc;9.4;9.54;-1.44
2024-05-09;amc;8.89;7.65;16.14
2024-08-01;amc;9.65;9.05;6.68
2024-11-07;amc;10.21;10.01;1.95
2025-02-06;amc;12.41;11.72;5.84
2025-05-01;amc;8.19;7.88;3.87
2025-07-31;amc;10.09;9.6;5.12
2025-11-06;amc;11.15;10.66;4.64
2026-02-05;amc;13.36;12.81;4.31
