date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-29;amc;1.54;1.46;5.55
2020-04-17;bmo;2.92;2.22;31.33
2020-07-21;bmo;5.73;5.16;10.97
2020-10-28;amc;2.27;2.55;-10.98
2021-02-03;amc;2.22;2.17;2.49
2021-04-28;amc;2.26;1.52;49.16
2021-07-28;amc;4.81;3.0;60.53
2021-10-27;amc;3.99;3.44;15.94
2022-02-02;amc;4.23;3.25;30.28
2022-05-03;amc;6.08;2.89;110.62
2022-07-27;amc;7.52;5.21;44.38
2022-10-26;amc;9.3;7.01;32.78
2023-02-01;amc;5.24;6.17;-15.03
2023-05-02;amc;4.8;4.17;15.0
2023-08-02;amc;6.02;6.28;-4.11
2023-11-01;amc;7.69;6.55;17.46
2024-02-07;amc;7.0;6.65;5.28
2024-05-01;amc;3.12;4.46;-30.04
2024-07-31;amc;6.92;7.05;-1.82
2024-10-30;amc;7.2;7.07;1.8
2025-02-05;amc;7.5;6.68;12.27
2025-05-07;amc;2.63;3.74;-29.74
2025-07-30;amc;7.36;6.56;12.12
2025-10-29;amc;6.76;6.95;-2.76
2026-02-04;amc;7.88;6.9;14.19
