date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-12;amc;1.16;1.18;-1.75
2020-05-27;amc;1.19;1.04;14.78
2020-08-26;amc;0.73;0.41;78.77
2020-12-01;amc;1.05;0.73;44.11
2021-02-24;amc;1.1;1.01;8.68
2021-06-02;amc;1.17;1.12;4.45
2021-08-25;amc;1.15;0.95;20.62
2021-11-30;amc;1.28;1.21;5.54
2022-02-23;amc;1.44;1.29;11.87
2022-06-01;amc;1.42;1.28;11.14
2022-08-24;amc;1.2;1.1;9.41
2022-11-29;amc;1.48;1.33;11.35
2023-02-22;amc;1.37;1.31;4.29
2023-05-31;amc;1.54;1.34;14.52
2023-08-23;amc;1.15;1.07;7.31
2023-11-28;amc;1.58;1.39;13.37
2024-02-29;amc;1.94;1.69;14.95
2024-05-30;amc;1.8;1.79;0.72
2024-08-28;amc;1.56;1.45;7.34
2024-11-21;amc;1.87;1.78;4.88
2025-02-27;amc;1.91;1.91;-0.13
2025-05-29;amc;1.93;1.9;1.76
2025-08-27;amc;1.15;1.14;0.8
2025-11-25;amc;2.05;1.88;8.76
2026-02-26;amc;2.12;2.06;2.78
