date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-26;amc;-0.6;-0.69;12.76
2020-05-27;amc;-0.69;-0.86;19.47
2020-08-27;amc;-0.39;-0.67;41.7
2020-11-23;amc;-0.44;-0.57;23.02
2021-02-24;amc;-0.37;-0.47;21.47
2021-05-26;amc;-0.41;-0.49;15.6
2021-09-01;amc;-0.26;-0.42;38.64
2021-11-23;amc;-0.22;-0.34;35.29
2022-03-02;amc;-0.03;-0.17;81.9
2022-05-25;amc;-0.05;-0.21;76.67
2022-08-31;amc;-0.17;-0.38;54.99
2022-11-30;amc;0.03;-0.12;125.77
2023-05-24;amc;0.31;0.13;145.11
2023-05-24;amc;0.04;0.03;32.36
2023-08-31;amc;0.24;0.16;50.15
2023-11-29;amc;0.35;0.18;99.76
2024-02-28;amc;0.46;0.29;59.01
2024-05-29;amc;0.28;0.17;69.31
2024-08-28;amc;0.27;0.2;37.86
2024-11-26;amc;0.42;0.32;32.1
2025-02-26;amc;0.56;0.47;18.75
2025-05-28;amc;0.42;0.38;10.16
2025-08-27;amc;0.13;0.08;73.33
2025-11-25;amc;0.41;0.41;0.21
2026-02-25;amc;0.56;0.44;28.11
