date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-28;bmo;0.52;0.31;66.74
2020-04-28;bmo;0.99;0.95;4.04
2020-07-23;bmo;0.37;0.14;174.75
2020-10-22;bmo;0.65;0.54;22.24
2021-01-28;bmo;2.35;1.19;97.53
2021-04-22;bmo;3.15;3.12;0.97
2021-07-22;bmo;5.18;4.78;8.37
2021-10-21;bmo;7.28;7.42;-1.89
2022-01-27;bmo;8.04;7.85;2.42
2022-04-21;bmo;7.67;7.34;4.55
2022-07-21;bmo;9.67;8.76;10.38
2022-10-20;bmo;6.5;6.53;-0.46
2023-01-26;bmo;4.89;4.3;13.8
2023-04-20;bmo;4.45;3.89;14.4
2023-07-24;amc;5.81;5.57;4.35
2023-10-23;amc;4.57;4.23;8.03
2024-01-29;amc;3.16;2.83;11.59
2024-04-22;amc;3.46;3.62;-4.49
2024-07-22;amc;2.68;2.41;11.33
2024-10-21;amc;1.49;1.41;5.48
2025-01-27;amc;1.22;0.62;96.99
2025-04-28;amc;0.77;0.66;16.87
2025-07-28;amc;2.65;2.64;0.32
2025-10-27;amc;2.63;2.17;21.26
2026-01-26;amc;1.73;1.81;-4.37
