date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-24;amc;0.77;0.78;-0.73
2020-04-28;amc;0.83;0.81;3.01
2020-07-28;amc;0.32;0.53;-40.09
2020-10-27;amc;0.7;0.62;12.93
2021-02-22;amc;0.69;0.73;-5.89
2021-04-27;amc;0.86;0.78;9.64
2021-08-03;amc;0.77;0.75;3.12
2021-11-02;amc;0.88;0.81;8.12
2022-02-28;amc;0.85;0.89;-4.04
2022-05-04;amc;0.87;0.9;-3.42
2022-08-08;amc;0.92;0.87;5.74
2022-11-01;amc;0.96;0.95;1.02
2023-02-27;amc;1.08;1.01;6.46
2023-05-02;amc;2.34;2.18;7.58
2023-08-07;amc;1.04;1.01;2.66
2023-10-31;amc;0.99;1.05;-5.66
2024-02-26;amc;1.18;1.2;-1.91
2024-04-30;amc;1.09;1.14;-4.5
2024-08-05;amc;1.33;1.19;11.38
2024-10-29;amc;1.18;1.23;-3.79
2025-02-24;amc;1.57;1.48;6.19
2025-04-29;amc;1.04;1.23;-15.33
2025-08-04;amc;1.34;1.33;0.95
2025-10-28;amc;1.49;1.45;2.45
2026-02-23;amc;1.55;1.49;3.85
