date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-11;bmo;1.89;1.85;2.12
2020-04-28;bmo;1.19;1.15;3.93
2020-07-28;bmo;0.92;0.9;2.14
2020-10-27;bmo;1.21;1.04;16.36
2021-02-18;bmo;1.9;1.62;17.56
2021-04-20;bmo;1.33;1.12;18.46
2021-07-20;bmo;1.34;1.37;-2.32
2021-10-19;amc;1.65;1.37;20.35
2022-02-08;amc;2.11;1.71;23.37
2022-04-19;amc;1.39;1.33;4.17
2022-07-19;amc;1.68;1.56;7.76
2022-10-18;amc;1.77;1.71;3.7
2023-02-07;amc;2.09;1.99;5.02
2023-04-18;amc;1.56;1.39;11.98
2023-07-18;amc;1.81;1.81;-0.06
2023-10-17;amc;1.86;1.85;0.51
2024-02-06;amc;2.2;2.16;1.84
2024-04-16;amc;1.67;1.53;9.32
2024-07-16;amc;1.95;1.93;1.15
2024-10-15;amc;2.03;2.03;0.08
2025-02-04;amc;2.41;2.39;0.8
2025-04-15;amc;1.7;1.66;2.28
2025-07-15;amc;2.05;2.03;0.83
2025-10-21;amc;2.24;2.17;3.06
2026-02-18;amc;2.59;2.94;-11.8
