date;timing;eps_actual;eps_estimated;surprise_pct
2021-11-16;bmo;0.07;-0.1;169.24
2022-03-18;bmo;-0.05;;-29164.71
2022-05-17;bmo;0.05;-0.04;227.23
2022-08-16;bmo;0.14;0.04;280.23
2022-11-16;bmo;0.07;0.11;-37.61
2023-03-21;bmo;0.02;0.06;-65.92
2023-05-16;bmo;0.15;0.09;59.0
2023-08-15;bmo;0.04;0.12;-65.96
2023-11-14;bmo;0.22;0.15;46.8
2024-03-12;bmo;-0.05;0.13;-138.93
2024-05-14;bmo;0.33;0.15;127.32
2024-08-13;bmo;0.14;0.17;-15.19
2024-11-12;bmo;0.16;0.2;-21.1
2025-03-04;bmo;0.33;0.18;83.84
2025-05-13;bmo;0.21;0.22;-5.17
2025-08-12;bmo;-0.09;0.21;-142.7
2025-11-12;bmo;0.43;0.27;60.02
2026-03-03;bmo;0.25;0.21;17.81
