date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-06;amc;0.41;0.39;6.22
2020-05-05;amc;0.39;0.33;19.08
2020-08-04;amc;0.42;0.35;20.86
2020-11-02;amc;0.4;0.34;16.96
2021-02-04;amc;0.72;0.6;20.0
2021-04-29;amc;0.73;0.68;7.35
2021-08-05;amc;0.92;0.8;14.71
2021-11-04;amc;0.98;0.92;6.52
2022-02-08;amc;1.23;1.11;10.81
2022-05-03;amc;1.31;1.17;12.35
2022-08-09;amc;1.28;1.27;0.63
2022-10-27;amc;1.35;1.31;3.21
2023-02-09;amc;1.57;1.34;17.34
2023-05-04;amc;0.92;0.89;3.84
2023-08-10;amc;0.79;0.84;-5.5
2023-11-09;amc;0.96;0.95;1.27
2024-02-08;amc;1.06;1.01;5.12
2024-05-09;amc;1.18;1.08;9.26
2024-08-08;amc;1.32;1.2;10.13
2024-10-31;amc;1.34;1.32;1.52
2025-02-06;amc;1.51;1.41;7.35
2025-05-08;amc;1.51;1.47;2.9
2025-08-07;amc;1.25;1.28;-2.15
2025-11-06;amc;0.92;0.87;5.92
2026-02-19;amc;1.26;1.26;-0.23
