date;timing;eps_actual;eps_estimated;surprise_pct
2020-05-06;amc;0.38;0.46;-17.39
2020-07-28;bmo;0.56;0.44;26.41
2020-10-26;bmo;0.69;0.56;22.94
2021-02-01;bmo;0.66;0.59;11.39
2021-04-26;bmo;0.72;0.63;14.29
2021-07-26;bmo;0.79;0.72;9.72
2021-10-25;bmo;0.77;0.73;4.96
2022-01-31;bmo;0.72;0.7;3.45
2022-04-25;bmo;0.77;0.74;4.05
2022-07-27;bmo;0.86;0.79;9.47
2022-10-26;bmo;0.8;0.78;2.04
2023-02-01;bmo;0.75;0.75;0.26
2023-04-26;bmo;0.8;0.75;6.09
2023-07-26;bmo;0.92;0.86;6.45
2023-10-25;bmo;0.95;0.88;8.21
2024-01-31;bmo;0.87;0.86;1.09
2024-04-24;bmo;0.88;0.86;1.8
2024-07-24;bmo;1.06;1.03;2.98
2024-10-30;bmo;0.96;0.97;-0.98
2025-01-29;bmo;0.93;0.96;-2.79
2025-04-23;bmo;0.92;0.91;1.1
2025-07-23;bmo;1.05;1.03;2.15
2025-10-29;bmo;1.05;1.0;4.73
2026-01-28;bmo;1.03;1.03;-0.35
2026-04-22;bmo;0.89;0.9;-0.85
