date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-19;amc;0.81;0.74;8.91
2020-05-07;amc;0.1;0.09;17.29
2020-07-29;amc;-0.43;-0.46;7.99
2020-10-28;amc;-0.03;-0.18;83.22
2021-02-17;amc;0.7;0.57;23.97
2021-04-27;amc;1.1;0.96;14.52
2021-07-27;amc;1.11;1.12;-1.2
2021-11-02;amc;1.5;1.51;-0.58
2022-02-25;during;1.25;1.64;-23.94
2022-05-10;during;2.17;2.49;-12.91
2022-08-04;during;2.41;2.68;-9.89
2022-11-08;amc;1.44;1.92;-24.82
2023-02-27;amc;0.89;1.78;-49.82
2023-05-09;amc;1.82;1.81;0.2
2023-07-27;amc;0.93;0.84;10.21
2023-11-07;amc;1.74;1.81;-3.73
2024-02-27;amc;2.35;1.92;22.35
2024-05-07;amc;1.43;1.41;1.05
2024-07-30;amc;1.23;1.31;-5.68
2024-11-07;amc;1.85;1.17;57.68
2025-02-26;amc;1.35;1.19;13.54
2025-05-06;amc;1.42;1.18;20.12
2025-07-24;amc;1.02;1.02;0.1
2025-11-04;amc;0.57;0.97;-41.16
2026-02-23;amc;1.39;1.01;37.02
