date;timing;eps_actual;eps_estimated;surprise_pct
2021-06-08;amc;0.02;-0.05;142.77
2021-09-07;amc;0.01;-0.06;117.51
2021-12-08;amc;;-0.04;100.0
2022-03-30;amc;0.05;0.03;77.94
2022-06-01;amc;-0.03;-0.06;45.6
2022-09-06;amc;-0.02;-0.11;81.95
2022-12-01;amc;0.05;-0.01;448.19
2023-03-15;amc;0.15;0.07;129.81
2023-05-24;amc;0.11;0.02;374.75
2023-09-05;amc;0.09;0.03;172.48
2023-11-30;amc;0.12;0.07;72.44
2024-03-13;amc;0.22;0.16;39.27
2024-05-29;amc;0.13;0.12;11.72
2024-09-05;amc;0.04;0.03;21.62
2024-12-05;amc;0.11;0.07;47.91
2025-03-12;amc;0.26;0.19;33.99
2025-05-29;amc;0.11;0.1;7.18
2025-09-04;amc;0.15;0.08;79.81
2025-12-03;amc;0.16;0.15;9.63
2026-03-11;amc;0.19;0.09;100.55
