date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-04;amc;0.36;0.29;22.98
2020-05-07;amc;0.83;0.69;20.98
2020-08-06;amc;0.32;0.13;151.69
2020-11-05;amc;0.38;0.15;161.73
2021-02-04;amc;0.39;0.25;54.25
2021-05-06;amc;0.88;0.67;32.27
2021-08-05;amc;0.46;0.3;55.05
2021-11-04;amc;0.59;0.38;53.82
2022-02-03;amc;0.64;0.42;53.22
2022-05-05;amc;1.22;0.91;33.96
2022-08-04;amc;0.8;0.53;50.57
2022-11-03;amc;0.98;0.64;52.31
2023-02-02;amc;1.12;0.74;52.14
2023-05-04;amc;1.74;1.53;13.54
2023-08-03;amc;1.32;1.13;16.71
2023-11-02;amc;1.4;1.13;24.22
2024-02-08;amc;1.49;1.28;16.85
2024-05-02;amc;2.21;1.98;11.7
2024-08-01;amc;1.48;1.29;14.89
2024-10-30;amc;1.66;1.41;17.48
2025-02-06;amc;1.52;1.43;6.57
2025-05-01;amc;2.43;2.12;14.8
2025-08-05;amc;1.56;1.35;15.46
2025-11-04;amc;1.75;1.57;11.3
2026-02-05;amc;1.85;1.6;15.88
