date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-28;bmo;0.55;0.58;-4.49
2020-04-28;bmo;0.8;0.73;9.98
2020-07-28;bmo;0.78;0.66;18.13
2020-10-27;bmo;0.72;0.71;0.97
2021-02-02;bmo;0.42;0.46;-9.65
2021-05-04;bmo;0.93;0.78;19.63
2021-07-28;bmo;1.07;0.98;9.42
2021-11-02;bmo;1.34;1.09;23.5
2022-02-08;bmo;1.08;0.87;23.6
2022-05-03;bmo;1.62;1.57;3.47
2022-07-28;bmo;2.04;1.78;14.8
2022-11-01;bmo;1.78;1.4;27.03
2023-01-31;bmo;1.14;1.04;9.4
2023-05-02;bmo;1.23;0.99;24.68
2023-08-01;bmo;0.67;0.58;15.28
2023-10-31;bmo;-0.17;-0.34;49.96
2024-01-30;bmo;0.1;-0.18;154.7
2024-05-01;bmo;0.55;0.34;61.01
2024-07-30;bmo;0.6;0.46;30.19
2024-10-29;bmo;1.06;0.61;73.28
2025-02-04;bmo;0.63;0.46;37.2
2025-04-29;bmo;0.92;0.67;36.49
2025-08-05;bmo;0.51;0.36;41.65
2025-11-04;bmo;0.87;0.63;37.43
2026-02-03;bmo;0.66;0.57;16.18
