date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-23;bmo;1.42;1.37;3.59
2020-04-17;bmo;1.17;1.13;3.54
2020-07-30;bmo;1.16;1.01;14.38
2020-10-20;bmo;1.63;1.42;14.89
2021-01-20;bmo;1.64;1.51;8.8
2021-04-20;bmo;1.26;1.19;6.1
2021-07-30;bmo;1.13;1.09;4.13
2021-10-19;bmo;1.61;1.59;1.2
2022-01-19;bmo;1.66;1.65;0.41
2022-04-20;bmo;1.33;1.29;2.88
2022-07-29;bmo;1.21;1.23;-1.43
2022-10-19;bmo;1.57;1.55;1.41
2023-01-19;bmo;1.59;1.59;-0.01
2023-04-21;bmo;1.37;1.32;3.46
2023-07-28;bmo;1.37;1.32;3.48
2023-10-18;bmo;1.83;1.72;6.34
2024-01-23;bmo;1.84;1.7;8.28
2024-04-19;bmo;1.52;1.41;7.48
2024-07-30;bmo;1.4;1.37;1.92
2024-10-18;bmo;1.93;1.9;1.75
2025-01-22;bmo;1.88;1.86;1.1
2025-04-24;bmo;1.54;1.53;0.93
2025-07-29;bmo;1.48;1.42;4.14
2025-10-24;bmo;1.99;1.9;4.92
2026-01-22;bmo;1.88;1.86;1.25
2026-04-24;bmo;;1.56;
