date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-28;bmo;1.22;1.1;10.93
2020-04-23;bmo;0.74;0.71;4.69
2020-07-23;bmo;1.15;0.87;31.66
2020-10-22;bmo;1.54;1.13;35.72
2021-01-28;bmo;1.49;1.4;6.75
2021-04-27;bmo;1.28;1.22;4.87
2021-07-27;bmo;1.9;1.73;10.13
2021-10-26;bmo;1.82;1.79;1.58
2022-02-01;bmo;2.61;2.33;12.1
2022-04-28;bmo;1.83;1.72;6.55
2022-07-26;bmo;2.73;2.62;4.16
2022-10-25;bmo;2.69;2.75;-2.22
2023-01-31;bmo;3.63;2.92;24.4
2023-04-25;bmo;2.35;1.81;30.09
2023-07-25;bmo;3.21;2.5;28.61
2023-10-24;bmo;2.9;2.8;3.62
2024-01-30;bmo;3.28;3.22;1.9
2024-04-23;bmo;3.1;2.36;31.2
2024-07-23;bmo;3.83;3.25;17.84
2024-10-22;bmo;3.35;3.13;7.14
2025-01-30;bmo;3.5;3.27;6.9
2025-04-22;bmo;2.57;2.44;5.21
2025-07-22;bmo;3.03;2.97;2.14
2025-10-21;bmo;2.96;2.9;2.14
2026-01-29;bmo;2.56;2.83;-9.5
2026-04-23;bmo;1.79;1.81;-0.97
