date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-06;amc;0.12;0.08;44.09
2020-05-05;amc;-0.1;-0.09;-12.5
2020-07-31;bmo;-0.07;-0.13;47.31
2020-10-28;amc;0.13;0.03;384.17
2021-02-04;amc;0.43;0.33;29.73
2021-04-27;amc;0.11;0.07;63.76
2021-07-29;amc;0.25;0.13;91.67
2021-11-04;amc;0.28;0.23;19.49
2022-02-03;amc;0.49;0.45;7.74
2022-04-27;amc;0.1;0.04;185.71
2022-08-01;amc;0.11;0.18;-37.72
2022-10-27;amc;0.11;0.06;87.94
2023-02-06;amc;0.29;0.27;5.49
2023-04-27;amc;0.08;0.02;355.58
2023-08-01;amc;0.21;0.12;75.03
2023-10-30;amc;0.28;0.2;40.42
2024-02-08;amc;0.53;0.51;3.42
2024-04-30;amc;0.2;0.13;48.82
2024-07-30;amc;0.29;0.28;4.2
2024-11-07;amc;0.4;0.34;16.31
2025-02-06;amc;0.56;0.65;-13.41
2025-05-08;amc;0.23;0.26;-10.28
2025-08-07;amc;0.33;0.35;-6.17
2025-11-04;amc;0.38;0.42;-8.82
2026-02-12;amc;0.67;0.67;-0.69
