date;timing;eps_actual;eps_estimated;surprise_pct
2020-11-12;amc;0.06;0.03;145.25
2021-02-16;bmo;0.06;0.02;128.04
2021-05-11;bmo;0.04;0.04;7.87
2021-08-12;bmo;0.04;0.03;16.01
2021-11-09;bmo;0.04;0.04;10.16
2022-02-17;bmo;0.02;0.04;-44.09
2022-05-09;bmo;0.02;0.04;-45.37
2022-08-08;bmo;-0.01;0.03;-131.7
2022-11-07;bmo;0.01;0.02;-38.61
2023-02-13;amc;0.04;0.03;49.48
2023-05-08;amc;0.05;0.04;25.03
2023-08-07;amc;0.05;0.05;-0.79
2023-11-02;bmo;0.07;0.06;25.07
2024-02-05;amc;0.08;0.08;5.39
2024-05-06;amc;0.08;0.08;4.1
2024-08-05;amc;0.09;0.08;10.55
2024-11-04;amc;0.06;0.04;42.21
2025-02-03;amc;0.14;0.11;23.72
2025-05-05;amc;0.13;0.13;1.11
2025-08-04;amc;0.16;0.14;15.57
2025-11-03;amc;0.21;0.17;25.46
2026-02-02;amc;0.25;0.23;8.6
