date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-06;amc;0.76;1.13;-32.92
2020-05-07;amc;0.65;0.89;-27.27
2020-08-06;amc;0.75;0.68;10.45
2020-11-19;amc;0.58;0.77;-24.53
2021-02-04;amc;0.72;0.71;1.9
2021-05-06;amc;0.29;0.55;-47.45
2021-08-05;amc;0.93;0.93;-0.18
2021-11-18;amc;0.44;0.94;-53.23
2022-02-03;amc;0.29;0.41;-29.02
2022-05-05;amc;0.24;0.2;20.0
2022-08-04;amc;0.69;0.55;26.44
2022-11-17;amc;0.85;0.7;20.78
2023-02-02;amc;1.08;0.62;73.39
2023-05-04;amc;1.1;0.81;35.06
2023-08-03;amc;1.52;0.93;62.67
2023-11-16;amc;1.63;1.38;18.12
2024-02-01;amc;1.69;1.1;53.4
2024-05-01;amc;1.51;1.29;17.15
2024-08-01;amc;1.54;1.22;26.53
2024-11-14;amc;1.53;1.22;25.2
2025-02-06;amc;1.73;1.51;14.36
2025-05-08;amc;1.41;1.21;16.69
2025-08-07;amc;2.03;1.65;22.84
2025-11-20;amc;2.09;1.88;11.38
2026-02-05;amc;1.71;1.65;3.64
