date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-06;bmo;7.5;7.17;4.56
2020-05-05;bmo;6.6;6.09;8.45
2020-08-05;bmo;7.16;5.97;20.02
2020-11-05;bmo;8.36;6.99;19.64
2021-02-05;bmo;9.53;8.29;15.02
2021-05-06;bmo;9.89;8.68;13.99
2021-08-05;bmo;25.8;17.71;45.67
2021-11-04;bmo;15.37;9.94;54.65
2022-02-04;bmo;23.72;20.3;16.85
2022-05-04;bmo;11.49;9.8;17.28
2022-08-03;bmo;9.77;8.76;11.55
2022-11-03;bmo;11.14;9.48;17.56
2023-02-03;bmo;12.56;10.01;25.48
2023-05-04;bmo;10.09;9.56;5.55
2023-08-03;bmo;10.24;9.9;3.47
2023-11-02;bmo;11.59;10.78;7.56
2024-02-02;bmo;11.86;10.75;10.37
2024-05-02;bmo;9.55;10.1;-5.41
2024-08-01;bmo;11.56;10.62;8.83
2024-10-31;bmo;12.46;11.7;6.54
2025-02-04;bmo;12.07;11.19;7.82
2025-04-29;bmo;7.27;7.06;3.0
2025-08-01;bmo;12.89;8.44;52.72
2025-10-28;bmo;11.83;9.64;22.66
2026-01-30;bmo;11.44;10.75;6.38
