date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-30;bmo;3.39;3.34;1.4
2020-04-28;bmo;3.05;2.88;5.88
2020-07-28;bmo;2.94;2.68;9.7
2020-10-27;bmo;3.17;3.04;4.45
2021-01-29;bmo;3.56;3.49;1.96
2021-04-27;bmo;3.6;3.32;8.6
2021-07-23;bmo;3.76;3.66;2.65
2021-10-22;bmo;3.91;3.85;1.68
2022-02-02;bmo;3.73;3.7;0.93
2022-04-26;bmo;3.77;3.68;2.45
2022-07-22;bmo;3.95;3.35;17.91
2022-10-26;bmo;3.67;3.45;6.38
2023-01-27;bmo;3.92;3.77;3.86
2023-04-27;bmo;3.9;3.85;1.25
2023-07-21;bmo;4.12;3.99;3.15
2023-10-25;bmo;4.32;4.22;2.33
2024-01-31;bmo;3.61;2.99;20.79
2024-04-26;bmo;4.41;4.34;1.63
2024-07-24;bmo;4.48;4.47;0.31
2024-10-23;bmo;4.62;4.53;1.94
2025-01-30;bmo;4.81;4.73;1.73
2025-04-28;bmo;4.78;4.74;0.76
2025-07-21;bmo;4.87;4.83;0.75
2025-10-23;bmo;5.14;5.11;0.58
2026-01-27;bmo;3.97;3.63;9.28
