date;timing;eps_actual;eps_estimated;surprise_pct
2020-08-12;bmo;0.61;0.6;0.88
2020-11-10;amc;0.65;0.59;10.08
2021-02-17;bmo;0.7;0.7;-0.67
2021-05-11;bmo;0.67;0.65;3.69
2021-08-11;bmo;0.71;0.71;0.17
2021-11-10;bmo;0.73;0.7;4.41
2022-02-15;bmo;0.8;0.78;3.69
2022-05-05;bmo;0.6;0.72;-15.94
2022-08-04;bmo;0.79;0.78;1.36
2022-11-08;bmo;0.73;0.71;1.95
2023-02-15;bmo;1.56;1.46;6.48
2023-05-09;bmo;1.6;1.27;25.93
2023-08-08;bmo;0.84;0.81;4.74
2023-11-08;bmo;0.79;0.77;2.61
2024-02-15;bmo;1.52;1.0;51.7
2024-05-09;bmo;0.98;0.98;-0.35
2024-08-08;bmo;0.96;0.97;-0.38
2024-11-06;bmo;0.92;;12.07
2025-02-11;bmo;0.35;0.25;41.24
2025-05-08;bmo;1.06;0.95;10.77
2025-08-06;bmo;1.14;1.03;10.48
2025-11-05;bmo;1.17;1.04;12.53
2026-02-11;bmo;1.47;1.33;9.95
