date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-03;amc;1.25;1.23;1.96
2020-05-04;amc;1.31;1.09;20.18
2020-08-03;amc;0.95;0.67;41.56
2020-10-28;amc;1.73;1.21;43.11
2021-02-16;bmo;1.78;1.59;11.74
2021-05-03;amc;1.98;1.72;15.12
2021-07-28;amc;2.28;2.07;10.23
2021-11-02;bmo;2.36;2.34;0.73
2022-02-02;amc;2.14;2.19;-2.39
2022-04-27;amc;2.68;2.42;10.69
2022-08-01;amc;2.76;2.61;5.65
2022-10-31;amc;2.66;2.64;0.76
2023-02-01;amc;2.64;2.39;10.52
2023-05-04;amc;2.22;2.15;3.32
2023-07-31;amc;2.56;2.46;4.21
2023-11-01;amc;2.1;2.55;-17.49
2024-02-07;amc;2.28;2.24;1.73
2024-05-06;amc;2.0;1.99;0.52
2024-07-31;amc;2.29;2.13;7.4
2024-11-04;amc;2.49;2.48;0.44
2025-02-05;amc;0.62;1.23;-49.59
2025-05-05;amc;2.15;1.83;17.71
2025-08-05;amc;1.19;1.21;-1.65
2025-10-29;amc;2.51;2.53;-0.98
2026-02-04;amc;2.51;2.48;1.1
