date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-28;bmo;1.94;1.84;5.33
2020-05-07;bmo;1.78;1.33;33.99
2020-07-28;bmo;0.4;0.12;231.51
2020-10-27;bmo;0.58;0.5;15.79
2021-01-26;bmo;0.74;0.69;6.82
2021-04-27;bmo;0.9;0.83;8.15
2021-07-27;bmo;1.03;0.93;10.91
2021-10-26;bmo;1.26;1.09;16.0
2022-01-25;bmo;1.08;1.02;5.72
2022-04-26;bmo;1.15;1.02;13.11
2022-07-26;bmo;1.16;1.11;4.16
2022-10-25;bmo;1.21;1.14;6.33
2023-01-24;bmo;1.27;1.25;1.83
2023-04-25;bmo;1.22;1.13;7.52
2023-07-25;bmo;1.29;1.18;9.73
2023-10-24;bmo;1.25;1.22;2.64
2024-01-23;bmo;1.29;1.25;3.46
2024-04-23;bmo;1.28;0.93;37.64
2024-07-25;bmo;1.41;1.3;8.61
2024-10-22;bmo;1.45;1.34;8.31
2025-01-28;bmo;1.54;1.38;11.8
2025-04-22;bmo;1.47;1.37;7.52
2025-07-22;bmo;1.56;1.43;9.47
2025-10-21;bmo;1.7;1.41;20.64
2026-01-27;bmo;1.55;1.47;5.34
2026-04-21;bmo;1.78;1.52;16.95
