date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-13;bmo;0.34;0.29;17.44
2020-04-30;bmo;0.34;0.18;84.0
2020-07-30;bmo;0.17;;8990.91
2020-10-29;bmo;0.74;0.55;33.69
2021-02-11;bmo;0.67;0.52;29.38
2021-04-29;bmo;0.64;0.52;23.81
2021-07-29;bmo;0.79;0.57;39.36
2021-10-28;bmo;0.88;0.85;4.01
2022-02-22;bmo;0.88;0.96;-8.34
2022-04-28;bmo;0.69;0.6;14.18
2022-07-27;bmo;0.58;0.58;-0.72
2022-11-03;bmo;0.78;0.75;4.44
2023-02-09;bmo;0.54;0.52;4.02
2023-05-09;bmo;0.53;0.51;3.58
2023-08-03;bmo;0.58;0.56;4.08
2023-11-02;bmo;0.66;0.83;-20.05
2024-02-08;bmo;0.53;0.54;-2.6
2024-05-07;bmo;0.5;0.48;3.62
2024-08-06;bmo;0.6;0.63;-5.01
2024-11-07;bmo;0.82;0.81;1.6
2025-02-20;bmo;0.6;0.56;7.24
2025-05-08;bmo;0.49;0.47;5.14
2025-08-07;bmo;0.53;0.51;3.56
2025-11-06;bmo;0.95;0.86;10.71
2026-02-17;bmo;0.72;0.72;0.04
