date;timing;eps_actual;eps_estimated;surprise_pct
2020-12-03;bmo;-1.01;-0.26;-287.26
2021-03-03;amc;-0.16;-0.17;9.45
2021-05-26;amc;-0.11;-0.16;28.42
2021-08-25;amc;-0.04;-0.15;73.98
2021-12-01;amc;0.04;-0.06;163.36
2022-03-02;amc;0.12;0.03;310.62
2022-05-25;amc;-0.01;;-71.25
2022-08-24;amc;0.01;-0.01;168.06
2022-11-30;amc;0.11;0.05;141.86
2023-03-01;amc;0.14;0.05;174.03
2023-05-24;amc;0.15;0.05;197.44
2023-08-23;amc;0.22;0.1;116.83
2023-11-29;amc;0.25;0.16;54.15
2024-02-28;amc;0.35;0.18;98.02
2024-05-22;amc;0.14;0.18;-21.09
2024-08-21;amc;0.18;0.16;13.46
2024-11-20;amc;0.2;0.15;31.67
2025-02-26;amc;0.3;0.18;67.26
2025-05-21;amc;-1.29;-1.0;-29.11
2025-08-27;amc;0.35;0.27;31.35
2025-12-03;amc;0.35;0.31;12.49
2026-02-25;amc;0.32;0.27;17.78
