date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-10;amc;1.45;1.42;2.11
2020-05-13;amc;1.64;1.58;4.13
2020-08-03;amc;1.31;0.98;33.95
2020-11-02;amc;1.48;1.27;16.84
2021-02-02;amc;1.73;1.54;12.58
2021-05-18;amc;1.63;1.8;-9.34
2021-08-08;amc;1.76;1.49;17.96
2021-11-02;amc;1.99;1.82;9.44
2022-02-08;amc;2.12;1.96;8.03
2022-05-11;amc;2.04;2.02;0.89
2022-08-02;amc;1.9;1.9;0.11
2022-11-09;amc;1.99;1.98;0.34
2023-02-08;amc;2.02;2.19;-7.9
2023-05-10;amc;2.3;2.15;7.06
2023-08-01;amc;2.0;1.86;7.53
2023-11-07;amc;2.07;2.0;3.1
2024-02-07;amc;2.22;2.17;2.37
2024-05-08;amc;2.58;2.41;7.14
2024-08-06;amc;2.03;1.98;2.67
2024-11-06;amc;2.14;2.13;0.4
2025-02-05;amc;2.32;2.32;-0.06
2025-05-14;amc;2.74;2.6;5.44
2025-08-06;amc;2.34;2.26;3.37
2025-11-05;amc;2.47;2.35;5.05
2026-02-04;amc;2.53;2.53;-0.1
