date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-23;amc;1.68;1.66;1.36
2020-05-04;amc;1.34;1.33;0.74
2020-07-23;amc;1.25;1.14;10.03
2020-11-02;amc;1.85;1.52;21.48
2021-01-28;amc;3.36;2.09;60.77
2021-04-29;amc;2.37;2.35;0.96
2021-07-29;amc;2.15;2.14;0.37
2021-11-04;amc;2.62;2.54;3.23
2022-02-03;amc;3.14;3.11;1.09
2022-05-03;amc;2.63;2.63;0.01
2022-08-04;amc;2.44;2.35;3.71
2022-11-03;amc;3.02;2.9;4.14
2023-02-06;amc;2.59;2.6;-0.2
2023-05-08;amc;2.02;2.03;-0.29
2023-08-07;amc;1.73;1.67;3.48
2023-11-02;amc;2.2;2.1;4.71
2024-01-30;amc;1.97;1.95;0.86
2024-04-30;amc;1.55;1.52;1.65
2024-07-30;amc;1.21;1.21;-0.4
2024-11-12;amc;1.55;1.52;1.9
2025-02-05;amc;1.6;1.57;1.75
2025-05-07;amc;1.24;1.2;3.09
2025-08-05;amc;1.33;1.24;7.01
2025-11-04;amc;1.76;1.53;14.82
2026-02-03;amc;0.53;0.73;-27.54
