date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-29;bmo;0.89;0.87;2.37
2020-04-22;bmo;0.84;0.85;-1.45
2020-07-23;bmo;0.83;0.79;4.85
2020-10-22;bmo;0.76;0.76;-0.11
2021-01-27;bmo;0.75;0.73;2.62
2021-04-22;bmo;0.86;0.78;10.61
2021-07-22;bmo;0.89;0.8;11.88
2021-10-21;bmo;0.87;0.79;10.28
2022-01-26;bmo;0.78;0.75;3.33
2022-04-21;bmo;0.77;0.75;1.99
2022-07-21;bmo;0.65;0.61;6.91
2022-10-20;bmo;0.68;0.61;10.58
2023-01-25;bmo;0.61;0.57;6.65
2023-04-20;bmo;0.6;0.59;2.1
2023-07-26;bmo;0.63;0.6;4.56
2023-10-19;bmo;0.64;0.62;3.09
2024-01-24;bmo;0.54;0.56;-3.16
2024-04-24;bmo;0.55;0.53;3.66
2024-07-24;bmo;0.57;0.57;-0.64
2024-10-23;bmo;0.6;0.57;5.07
2025-01-27;bmo;0.54;0.51;6.81
2025-04-23;bmo;0.61;0.49;23.36
2025-07-23;bmo;0.54;0.53;1.92
2025-10-22;bmo;0.54;0.54;0.45
2026-01-28;bmo;0.52;0.47;11.58
2026-04-22;bmo;0.57;0.55;3.42
