date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-12;bmo;1.02;0.78;30.05
2020-04-30;bmo;0.35;0.33;5.98
2020-07-30;bmo;1.56;0.64;143.28
2020-10-29;bmo;1.62;1.02;59.37
2021-02-11;bmo;0.4;0.77;-47.78
2021-04-29;bmo;0.01;-0.1;110.22
2021-07-29;bmo;1.58;1.34;18.16
2021-10-28;bmo;1.75;1.51;15.64
2022-02-23;bmo;0.81;0.86;-5.42
2022-05-03;bmo;0.29;0.19;50.85
2022-08-02;bmo;1.19;1.19;0.06
2022-11-01;bmo;1.32;1.35;-2.29
2023-02-21;bmo;1.3;1.07;21.4
2023-05-02;bmo;0.54;0.26;105.13
2023-08-01;bmo;1.78;1.65;8.02
2023-11-02;bmo;1.92;1.54;25.07
2024-02-13;bmo;1.19;1.12;6.44
2024-04-30;bmo;0.95;0.75;27.27
2024-08-06;bmo;1.92;1.68;13.98
2024-11-07;bmo;0.96;1.63;-41.16
2025-02-13;bmo;1.3;1.13;15.31
2025-05-08;bmo;0.5;0.8;-37.22
2025-08-05;bmo;2.05;1.82;12.87
2025-11-04;bmo;1.67;1.7;-1.48
2026-02-18;amc;1.21;1.15;4.95
