date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-23;amc;0.37;0.27;35.78
2020-04-30;amc;0.25;0.21;20.77
2020-07-30;amc;0.25;0.21;21.0
2020-10-29;amc;0.3;0.27;9.16
2021-01-28;amc;0.37;0.32;14.47
2021-04-29;amc;0.48;0.29;66.55
2021-07-29;amc;0.24;0.18;32.26
2021-10-28;amc;0.46;0.4;15.76
2022-01-27;amc;0.5;0.39;27.82
2022-04-28;amc;0.47;0.32;46.86
2022-08-04;amc;0.27;0.26;2.63
2022-11-03;amc;0.36;0.38;-6.25
2023-02-02;amc;0.45;0.29;53.76
2023-05-04;amc;0.54;0.33;62.55
2023-08-03;amc;0.57;0.45;26.75
2023-11-02;amc;0.65;0.54;21.12
2024-01-31;amc;0.73;0.63;16.53
2024-04-24;amc;0.89;0.63;41.87
2024-08-01;amc;0.66;0.6;9.29
2024-10-31;amc;-0.48;-0.25;-90.57
2025-01-30;amc;-0.15;-0.45;66.39
2025-05-01;amc;0.97;0.93;4.85
2025-08-07;amc;0.98;0.85;14.62
2025-10-30;amc;1.04;0.84;24.14
2026-02-05;amc;-0.16;-0.17;5.21
