date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-04;bmo;0.27;0.28;-4.98
2020-04-30;bmo;0.35;0.28;22.67
2020-08-04;bmo;0.25;0.19;30.99
2020-11-05;bmo;0.36;0.28;29.61
2021-02-02;bmo;0.41;0.34;18.16
2021-05-06;bmo;0.45;0.39;15.35
2021-08-05;bmo;0.09;0.28;-66.67
2021-11-02;bmo;0.46;0.43;6.18
2022-02-01;bmo;0.47;0.45;5.11
2022-05-04;bmo;0.54;0.5;7.15
2022-08-04;bmo;0.51;0.52;-1.3
2022-11-01;bmo;0.45;0.46;-2.74
2023-02-02;bmo;0.47;0.49;-3.72
2023-05-03;bmo;0.53;0.53;-0.2
2023-08-08;bmo;0.55;0.55;0.34
2023-10-31;bmo;0.41;0.44;-5.77
2024-02-01;bmo;0.4;0.41;-3.12
2024-05-01;bmo;0.48;0.46;5.27
2024-08-07;bmo;0.49;0.49;-0.96
2024-10-30;bmo;0.42;0.38;10.24
2025-02-05;bmo;0.42;0.39;7.77
2025-05-07;bmo;0.56;0.51;10.41
2025-08-06;bmo;0.53;0.5;5.79
2025-11-05;bmo;0.24;0.25;-4.0
2026-02-04;bmo;0.46;0.43;5.84
