date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-25;during;2.28;0.74;206.81
2020-04-30;bmo;-0.43;0.34;-227.02
2020-07-30;during;-1.14;-0.04;-2750.0
2020-10-30;during;-0.65;-0.86;24.69
2021-02-10;amc;-0.52;-0.31;-66.35
2021-07-29;during;-1.0;0.24;-522.13
2021-10-28;bmo;0.52;0.31;66.11
2022-02-11;bmo;6.41;0.33;1872.31
2022-04-28;bmo;0.29;0.61;-52.79
2022-07-28;bmo;0.11;0.18;-41.28
2022-10-27;bmo;-0.16;0.04;-536.01
2023-02-10;amc;0.47;-0.09;622.44
2023-04-27;amc;0.02;0.26;-92.23
2023-07-27;bmo;-0.13;0.39;-133.29
2023-10-26;amc;-0.03;0.27;-111.12
2024-02-27;bmo;-0.12;0.44;-127.42
2024-05-08;bmo;0.53;0.57;-7.51
2024-08-05;bmo;0.46;0.5;-8.69
2024-11-07;bmo;0.3;0.62;-51.97
2025-02-26;amc;0.26;0.7;-63.06
2025-05-07;amc;1.14;0.78;45.56
2025-08-06;amc;0.9;0.64;40.89
2025-11-05;amc;1.17;0.78;50.19
2026-02-25;amc;1.51;0.74;104.97
