date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-26;bmo;0.81;0.77;5.36
2020-05-21;bmo;-0.74;-0.15;-380.02
2020-08-19;bmo;-0.18;-0.08;-127.36
2020-11-18;bmo;0.71;0.4;77.95
2021-02-24;bmo;0.45;0.62;-27.39
2021-05-19;bmo;0.44;0.31;41.7
2021-08-18;bmo;0.64;0.54;17.48
2021-11-17;bmo;0.84;0.81;3.09
2022-02-23;bmo;0.78;0.91;-14.72
2022-05-18;bmo;0.68;0.6;12.8
2022-08-17;bmo;0.69;0.67;3.38
2022-11-16;bmo;0.91;0.8;13.8
2023-02-22;bmo;0.89;0.89;-0.44
2023-05-17;bmo;0.76;0.71;6.31
2023-08-16;bmo;0.85;0.78;9.05
2023-11-15;bmo;1.03;0.99;4.06
2024-02-28;bmo;1.22;1.13;8.34
2024-05-22;bmo;0.93;0.87;6.34
2024-08-21;bmo;0.96;0.92;4.4
2024-11-20;bmo;1.14;1.09;4.2
2025-02-26;bmo;1.23;1.17;5.31
2025-05-21;bmo;0.92;0.91;0.79
2025-08-20;bmo;1.1;1.01;8.45
2025-11-19;bmo;1.28;1.22;5.02
2026-02-25;bmo;1.58;1.38;14.11
