date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-05;bmo;0.84;0.96;-12.09
2020-05-01;bmo;1.11;1.09;1.65
2020-08-03;bmo;1.02;0.32;215.06
2020-10-29;bmo;1.13;0.9;25.38
2021-02-04;bmo;0.84;0.93;-9.2
2021-04-28;bmo;1.38;1.2;14.92
2021-08-02;bmo;1.37;1.44;-4.8
2021-11-01;bmo;1.18;1.16;2.03
2022-02-03;bmo;0.78;0.91;-14.0
2022-05-02;bmo;1.61;1.16;38.77
2022-07-28;bmo;1.67;1.32;26.13
2022-10-26;bmo;1.52;1.34;13.75
2023-02-06;bmo;1.22;1.09;11.76
2023-05-03;bmo;2.09;1.89;10.61
2023-08-03;bmo;2.01;2.08;-3.43
2023-11-01;bmo;1.55;1.6;-2.94
2024-02-05;bmo;1.37;1.22;12.12
2024-04-30;bmo;1.77;1.52;16.23
2024-07-31;bmo;1.63;1.61;1.43
2024-11-05;bmo;1.16;1.2;-3.49
2025-02-05;bmo;1.16;0.99;17.2
2025-04-30;bmo;1.4;1.42;-1.54
2025-07-30;bmo;1.42;1.36;4.33
2025-10-29;bmo;1.37;1.24;10.14
2026-02-04;bmo;1.14;1.09;4.93
