date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-30;bmo;3.55;3.54;0.37
2020-04-22;bmo;2.94;2.82;4.35
2020-07-22;bmo;3.89;2.89;34.57
2020-10-21;bmo;5.63;4.3;30.82
2021-02-01;bmo;7.09;6.57;7.89
2021-04-29;bmo;7.21;6.68;7.87
2021-07-28;bmo;5.6;5.47;2.31
2021-10-27;bmo;5.76;4.7;22.68
2022-02-02;bmo;6.54;5.27;24.01
2022-04-28;bmo;7.25;6.21;16.8
2022-07-28;bmo;5.51;4.98;10.61
2022-10-26;bmo;5.08;4.82;5.5
2023-02-01;bmo;5.4;5.2;3.84
2023-04-26;bmo;5.03;5.03;-0.08
2023-07-26;bmo;5.15;5.43;-5.17
2023-10-25;bmo;5.69;5.61;1.37
2024-01-31;bmo;5.67;5.65;0.42
2024-04-24;bmo;5.11;4.71;8.45
2024-07-24;bmo;5.37;5.13;4.72
2024-10-23;bmo;5.28;5.25;0.5
2025-01-30;bmo;6.1;5.94;2.66
2025-04-23;bmo;5.15;5.1;0.94
2025-07-23;bmo;5.36;5.23;2.55
2025-10-22;bmo;5.79;5.5;5.32
2026-01-29;bmo;5.21;5.2;0.23
2026-04-23;bmo;5.44;5.24;3.76
