date;timing;eps_actual;eps_estimated;surprise_pct
2021-11-09;amc;-1.05;-0.27;-289.12
2022-02-15;amc;-0.15;-0.12;-26.31
2022-05-12;amc;-0.2;-0.12;-68.34
2022-08-11;amc;-0.19;-0.12;-64.89
2022-11-10;amc;-0.15;-0.11;-35.02
2023-02-16;bmo;-0.18;-0.07;-160.61
2023-05-09;amc;-0.16;-0.09;-87.28
2023-08-08;amc;-0.11;-0.03;-285.28
2023-11-07;amc;-0.06;-0.1;40.08
2024-02-15;amc;-0.08;0.01;-831.77
2024-05-07;amc;-0.15;-0.14;-5.95
2024-08-06;amc;0.02;-0.02;218.84
2024-11-07;amc;0.07;0.01;391.92
2025-02-19;amc;0.05;0.06;-13.97
2025-05-08;amc;0.2;0.18;9.57
2025-08-05;amc;0.25;0.22;12.0
2025-11-04;amc;0.28;0.23;19.57
2026-02-12;amc;0.27;0.24;12.92
