date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-30;amc;1.02;0.82;23.99
2020-04-30;amc;0.82;0.8;2.92
2020-07-30;amc;0.4;0.69;-42.95
2020-11-02;amc;0.66;0.4;66.29
2021-02-25;amc;0.64;0.5;27.16
2021-05-06;amc;0.72;0.64;12.57
2021-08-05;amc;0.82;0.8;1.94
2021-11-04;amc;1.2;1.06;13.48
2022-02-23;amc;1.13;1.3;-12.96
2022-05-04;amc;1.4;1.32;6.31
2022-08-03;amc;1.71;1.72;-0.49
2022-11-02;amc;1.87;1.6;16.95
2023-02-22;amc;1.44;1.59;-9.45
2023-05-03;amc;1.25;1.54;-18.79
2023-08-02;amc;1.45;1.25;16.31
2023-11-01;amc;1.53;1.56;-2.34
2024-02-21;amc;1.64;1.38;18.25
2024-05-08;amc;1.66;1.45;14.52
2024-08-07;amc;1.66;1.79;-7.11
2025-08-06;amc;1.68;2.32;-27.41
2025-11-05;amc;1.76;1.92;-8.7
2026-02-18;amc;1.79;3.6;-50.22
