date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-20;amc;0.36;-0.09;517.47
2020-05-07;during;1.28;-0.07;1941.36
2020-08-06;during;0.14;-0.04;430.34
2020-11-05;during;0.22;0.14;51.58
2021-02-18;during;0.03;0.3;-91.7
2021-05-06;during;0.52;0.17;209.41
2021-08-05;during;0.16;0.29;-44.06
2021-11-04;during;0.58;0.38;54.2
2022-02-24;during;0.7;0.51;37.9
2022-05-05;during;0.79;1.08;-27.13
2022-08-04;during;0.09;1.01;-91.62
2022-11-03;during;1.37;1.13;21.27
2023-02-22;amc;1.62;1.16;40.03
2023-05-04;during;-0.56;1.37;-140.48
2023-08-03;during;0.98;1.23;-20.34
2023-11-02;during;1.09;1.16;-6.12
2024-02-15;amc;1.5;1.43;4.72
2024-05-02;during;1.37;1.28;7.67
2024-08-01;during;1.58;1.27;24.59
2024-11-05;during;1.92;1.61;19.13
2025-02-20;during;1.82;1.83;-0.65
2025-05-01;during;1.89;2.04;-7.56
2025-08-07;during;2.02;1.98;2.2
2025-11-05;during;2.2;2.13;3.06
2026-02-19;during;2.69;2.4;12.12
