date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-06;bmo;1.66;1.67;-0.85
2020-05-04;bmo;0.77;1.12;-31.23
2020-08-03;bmo;1.4;0.96;45.15
2020-11-16;bmo;1.81;1.19;52.39
2021-02-11;bmo;1.94;1.5;29.27
2021-05-10;bmo;1.34;1.13;18.18
2021-08-09;bmo;2.7;1.63;65.58
2021-11-15;bmo;2.3;2.22;3.73
2022-02-07;bmo;2.87;1.88;52.74
2022-05-09;bmo;2.29;1.81;26.47
2022-08-08;bmo;1.94;1.97;-1.53
2022-11-14;bmo;1.63;1.72;-5.08
2023-02-06;bmo;0.85;1.37;-38.09
2023-05-08;bmo;-0.04;0.8;-105.0
2023-08-07;bmo;0.15;0.26;-42.99
2023-11-13;bmo;0.37;0.25;47.13
2024-02-05;bmo;0.69;0.42;63.5
2024-05-06;bmo;0.62;0.4;56.81
2024-08-05;bmo;0.87;0.67;30.33
2024-11-12;bmo;0.92;0.69;33.64
2025-02-03;bmo;1.14;0.88;29.91
2025-05-05;bmo;0.92;0.82;12.24
2025-08-04;bmo;0.91;0.78;16.17
2025-11-10;bmo;1.15;0.83;37.77
2026-02-02;bmo;0.97;0.94;3.08
