date;timing;eps_actual;eps_estimated;surprise_pct
2020-03-05;bmo;0.64;0.58;10.62
2020-06-04;bmo;0.92;0.98;-5.85
2020-09-02;amc;0.82;0.56;45.32
2020-12-16;bmo;0.64;0.52;23.87
2021-03-04;bmo;0.85;0.75;13.12
2021-06-03;bmo;1.29;1.2;7.89
2021-09-02;bmo;0.92;0.78;17.7
2021-12-15;bmo;0.56;0.53;4.87
2022-03-03;bmo;0.66;0.63;5.6
2022-06-02;bmo;1.25;1.22;2.12
2022-09-01;bmo;1.19;1.13;4.94
2022-12-21;bmo;1.11;1.09;1.65
2023-03-09;bmo;0.98;0.94;4.26
2023-06-08;bmo;1.59;1.52;4.61
2023-09-07;bmo;0.95;1.24;-23.39
2023-12-20;bmo;0.71;0.56;26.79
2024-03-07;bmo;0.64;0.66;-2.61
2024-06-06;bmo;1.4;1.29;8.25
2024-09-05;bmo;1.18;1.23;-4.07
2024-12-18;bmo;0.87;0.96;-8.9
2025-03-06;bmo;0.65;0.63;3.65
2025-06-05;bmo;1.42;1.4;1.79
2025-09-04;bmo;1.24;1.22;2.06
2025-12-17;bmo;0.91;0.87;4.2
2026-03-05;bmo;0.74;0.65;14.2
