date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-22;amc;1.12;1.02;10.11
2020-04-21;amc;1.24;0.99;25.32
2020-07-21;amc;1.48;0.88;68.55
2020-10-20;amc;1.45;1.28;13.28
2021-01-26;amc;1.8;1.33;34.92
2021-04-27;amc;1.92;1.61;19.45
2021-07-21;amc;2.1;1.85;13.62
2021-10-26;amc;2.07;2.04;1.36
2022-01-25;amc;2.33;1.96;18.97
2022-04-26;amc;2.42;2.19;10.44
2022-07-26;amc;2.45;2.12;15.49
2022-10-25;amc;2.56;2.42;5.58
2023-01-24;amc;2.13;1.98;7.69
2023-04-25;amc;1.85;1.78;3.99
2023-07-25;amc;1.87;1.77;5.84
2023-10-24;amc;1.85;1.84;0.33
2024-01-23;amc;1.49;1.47;1.7
2024-04-23;amc;1.2;1.07;12.41
2024-07-23;amc;1.22;1.16;5.0
2024-10-22;amc;1.47;1.37;7.08
2025-01-23;amc;1.3;1.23;5.51
2025-04-23;amc;1.28;1.06;20.21
2025-07-22;amc;1.41;1.33;5.81
2025-10-21;amc;1.57;1.49;5.81
2026-01-27;amc;1.27;1.31;-2.89
2026-04-22;amc;1.68;1.36;23.15
