date;timing;eps_actual;eps_estimated;surprise_pct
2020-03-12;amc;3.89;3.73;4.22
2020-05-28;amc;-1.13;0.67;-267.16
2020-08-27;amc;0.73;0.15;383.92
2020-12-03;amc;1.64;1.49;9.91
2021-03-11;amc;3.41;2.37;43.75
2021-05-27;amc;4.1;1.97;108.54
2021-08-25;amc;4.56;2.56;78.13
2021-12-02;amc;3.94;2.47;59.65
2022-03-10;amc;5.41;4.56;18.52
2022-05-26;amc;6.3;4.48;40.66
2022-08-25;amc;5.7;4.99;14.31
2022-12-01;amc;5.34;4.13;29.29
2023-03-09;amc;6.68;5.6;19.23
2023-05-25;amc;6.88;6.83;0.67
2023-08-24;amc;6.02;5.85;2.9
2023-11-30;amc;5.07;4.97;1.92
2024-03-14;amc;8.08;7.54;7.21
2024-05-30;amc;6.47;6.28;3.04
2024-08-29;amc;5.3;5.47;-3.05
2024-12-05;amc;5.14;4.53;13.49
2025-03-13;amc;8.46;7.14;18.42
2025-05-29;amc;6.7;5.83;14.9
2025-08-28;amc;5.78;5.1;13.23
2025-12-04;amc;5.14;4.61;11.54
2026-03-12;amc;8.01;8.04;-0.4
