date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-11;bmo;0.66;0.65;0.92
2020-05-05;bmo;0.15;0.16;-3.41
2020-08-04;bmo;-0.25;-0.35;27.7
2020-11-02;bmo;0.15;0.17;-11.42
2021-02-16;bmo;0.05;0.09;-46.8
2021-05-10;bmo;0.12;0.04;230.12
2021-08-09;bmo;0.58;0.35;67.85
2021-11-08;bmo;0.48;0.48;0.36
2022-02-17;bmo;0.38;0.4;-4.36
2022-05-12;bmo;0.36;0.34;5.21
2022-08-11;bmo;0.67;0.68;-1.7
2022-11-10;bmo;0.6;0.61;-1.39
2023-02-16;bmo;0.55;0.53;3.23
2023-05-11;bmo;0.5;0.42;19.96
2023-08-10;bmo;0.79;0.76;4.02
2023-11-09;bmo;0.38;0.6;-37.09
2024-02-15;bmo;0.64;0.66;-3.64
2024-05-09;bmo;0.54;0.54;-0.04
2024-08-08;bmo;0.93;0.93;0.36
2024-11-07;bmo;0.85;0.83;2.98
2025-02-13;bmo;0.84;0.8;4.37
2025-05-08;bmo;0.68;0.69;-2.05
2025-08-07;bmo;1.19;1.13;5.01
2025-11-06;bmo;1.07;1.03;3.73
2026-02-12;bmo;1.04;1.01;3.41
