date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-26;bmo;1.96;3.47;-43.47
2020-04-29;bmo;3.61;3.39;6.62
2020-07-29;bmo;3.68;3.28;12.37
2020-10-28;bmo;3.88;3.34;16.08
2021-02-24;bmo;3.31;3.51;-5.58
2021-05-05;bmo;3.49;3.49;0.04
2021-08-04;bmo;3.65;2.98;22.54
2021-11-03;bmo;4.16;4.09;1.64
2022-02-24;bmo;2.35;3.65;-35.69
2022-05-04;bmo;4.71;3.65;29.23
2022-08-03;bmo;3.46;4.54;-23.82
2022-11-02;bmo;4.91;3.77;30.25
2023-02-22;bmo;2.67;4.5;-40.72
2023-05-03;bmo;4.86;4.71;3.18
2023-08-02;bmo;5.24;4.49;16.79
2023-11-01;bmo;5.38;5.04;6.68
2024-02-21;bmo;4.36;4.19;4.15
2024-05-01;bmo;6.17;5.59;10.31
2024-07-31;bmo;5.85;6.41;-8.68
2024-10-30;bmo;6.39;6.42;-0.54
2025-02-26;bmo;6.19;6.27;-1.23
2025-04-30;bmo;6.63;6.28;5.62
2025-07-30;bmo;6.41;6.94;-7.65
2025-10-29;bmo;7.16;6.96;2.86
2026-02-25;bmo;7.7;6.76;13.99
