date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-23;bmo;1.23;1.21;1.36
2020-05-15;bmo;0.1;0.14;-26.71
2020-07-31;bmo;-0.57;-0.67;14.5
2020-10-16;bmo;0.67;0.48;39.41
2021-01-27;bmo;0.93;0.9;3.28
2021-05-21;bmo;0.21;0.29;-27.03
2021-07-30;bmo;0.2;0.11;83.02
2021-10-22;bmo;1.11;1.16;-4.02
2022-01-28;bmo;1.35;1.22;11.07
2022-05-19;amc;0.45;0.47;-3.76
2022-07-28;amc;0.09;0.13;-33.26
2022-10-26;amc;0.73;0.75;-2.31
2023-02-07;amc;1.12;0.99;13.34
2023-05-23;amc;0.17;0.14;20.66
2023-08-01;amc;-0.15;-0.12;-25.43
2023-10-30;amc;0.63;0.65;-2.62
2024-02-06;amc;0.57;0.78;-27.14
2024-05-22;amc;-0.32;0.01;-2825.72
2024-08-06;amc;-0.33;-0.37;10.8
2024-10-28;amc;0.6;0.37;60.42
2025-01-29;bmo;0.43;0.35;24.46
2025-05-21;bmo;-0.39;-0.14;-181.2
2025-07-30;bmo;-0.3;-0.35;13.54
2025-10-28;bmo;0.52;0.42;22.94
2026-01-28;bmo;0.56;0.45;25.65
