date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-03;amc;0.35;0.3;16.16
2020-05-06;amc;0.39;0.39;
2020-08-03;amc;0.28;0.24;18.02
2020-10-28;amc;0.46;0.37;25.88
2021-02-03;amc;0.41;0.36;12.76
2021-04-28;amc;0.46;0.37;24.87
2021-08-04;amc;0.55;0.45;22.31
2021-11-03;amc;0.5;0.47;5.59
2022-02-08;amc;0.48;0.45;5.77
2022-05-09;amc;0.48;0.5;-4.45
2022-08-03;amc;0.58;0.59;-1.26
2022-11-15;bmo;0.59;0.56;5.35
2023-02-07;bmo;0.16;0.22;-27.72
2023-05-10;bmo;0.23;0.2;14.26
2023-08-09;bmo;0.43;0.34;25.37
2023-11-09;bmo;0.39;0.41;-4.26
2024-02-06;bmo;0.29;0.29;0.42
2024-05-08;bmo;0.37;0.35;5.73
2024-08-07;bmo;0.45;0.47;-5.13
2024-11-19;bmo;0.46;0.42;9.18
2025-02-06;bmo;0.73;0.28;160.71
2025-05-08;bmo;0.34;0.36;-5.32
2025-08-06;bmo;0.47;0.45;3.48
2025-11-19;bmo;0.45;0.47;-3.97
2026-02-04;bmo;0.37;0.33;13.61
