date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-30;amc;0.62;0.58;6.89
2020-04-30;amc;0.85;0.92;-7.18
2020-08-05;amc;1.23;1.23;-0.14
2020-10-28;amc;0.65;0.55;17.23
2021-01-28;amc;0.69;0.54;28.97
2021-04-29;amc;1.02;0.68;49.2
2021-08-04;amc;2.16;1.5;43.97
2021-10-28;amc;2.49;2.44;1.94
2022-01-27;amc;2.3;2.12;8.27
2022-04-28;amc;0.08;0.79;-89.93
2022-08-05;bmo;1.78;1.72;3.21
2022-10-27;bmo;0.2;0.39;-48.98
2023-01-31;amc;-0.42;-0.13;-225.0
2023-05-08;amc;-1.37;-1.56;12.3
2023-07-31;amc;-1.98;-2.02;2.08
2023-10-30;bmo;-1.76;-1.9;7.43
2024-01-25;amc;-0.69;-1.1;37.05
2024-04-25;amc;0.63;0.15;311.6
2024-07-31;amc;1.44;1.17;23.06
2024-10-24;amc;1.78;1.71;3.95
2025-01-29;amc;1.77;1.82;-2.68
2025-04-30;bmo;1.36;1.11;22.73
2025-07-30;amc;1.66;1.48;12.13
2025-10-30;amc;1.78;1.58;12.93
2026-01-29;amc;2.13;1.93;10.47
