date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-13;bmo;0.92;0.99;-7.19
2020-04-23;bmo;0.72;0.86;-16.11
2020-07-23;bmo;2.26;1.88;20.36
2020-10-22;bmo;2.76;2.51;10.14
2021-02-11;bmo;1.14;1.0;13.57
2021-04-22;bmo;1.39;0.92;50.99
2021-07-22;bmo;3.71;3.06;21.33
2021-10-20;bmo;3.62;3.56;1.83
2022-02-10;bmo;2.02;1.69;19.35
2022-04-21;bmo;2.9;1.8;61.03
2022-07-26;bmo;4.93;5.07;-2.71
2022-10-20;bmo;4.03;4.44;-9.16
2023-02-16;bmo;2.35;2.14;9.71
2023-04-20;bmo;2.83;2.39;18.5
2023-08-01;bmo;4.42;4.93;-10.43
2023-10-19;bmo;4.35;4.27;1.99
2024-02-13;bmo;2.06;2.4;-14.18
2024-04-24;bmo;2.17;2.27;-4.51
2024-07-30;bmo;4.49;4.73;-5.13
2024-10-23;bmo;4.22;4.76;-11.33
2025-02-18;bmo;2.37;2.2;7.9
2025-04-23;bmo;1.93;2.25;-14.31
2025-07-30;bmo;4.52;4.83;-6.35
2025-10-29;bmo;3.98;4.22;-5.74
2026-02-17;bmo;1.68;1.89;-11.03
