date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-31;bmo;1.33;1.2;10.83
2020-05-01;bmo;0.53;0.05;988.3
2020-07-31;bmo;-0.26;-0.54;52.11
2020-10-30;bmo;-0.15;-0.26;42.39
2021-02-02;bmo;0.03;0.02;50.0
2021-04-30;bmo;0.65;0.6;8.17
2021-07-30;bmo;1.1;0.99;10.57
2021-10-29;bmo;1.58;1.52;3.79
2022-02-01;bmo;2.05;1.93;6.27
2022-04-29;bmo;2.07;2.22;-6.96
2022-07-29;bmo;4.14;3.89;6.46
2022-10-28;bmo;4.45;3.82;16.48
2023-01-31;bmo;3.4;3.28;3.57
2023-04-28;bmo;2.83;2.59;9.32
2023-07-28;bmo;1.94;2.02;-3.91
2023-10-27;bmo;2.27;2.36;-3.82
2024-02-02;bmo;2.48;2.19;13.04
2024-04-26;bmo;2.06;2.16;-4.75
2024-08-02;bmo;2.14;2.01;6.51
2024-11-01;bmo;1.92;1.87;2.6
2025-01-31;bmo;1.67;1.55;7.87
2025-05-02;bmo;1.76;1.74;1.16
2025-08-01;bmo;1.64;1.56;4.93
2025-10-31;bmo;1.76;1.79;-1.59
2026-01-30;bmo;1.53;1.66;-7.67
