date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-10;amc;1.12;1.01;10.61
2020-05-04;amc;0.47;0.43;9.84
2020-07-30;amc;-0.63;-0.79;20.58
2020-11-05;during;0.84;0.4;109.19
2021-02-10;amc;1.19;0.67;77.47
2021-05-03;amc;1.46;0.99;47.75
2021-07-28;amc;1.86;1.69;10.33
2021-11-02;amc;0.94;0.93;0.7
2022-02-08;amc;1.34;0.98;36.41
2022-05-09;amc;1.25;0.93;34.83
2022-08-04;amc;1.81;1.51;19.8
2022-10-31;bmo;1.45;1.35;7.53
2023-02-08;amc;0.98;0.84;16.43
2023-05-04;bmo;0.56;0.46;20.76
2023-08-04;bmo;0.71;0.61;16.72
2023-10-30;bmo;0.88;0.64;36.6
2024-02-07;bmo;0.77;0.62;23.78
2024-05-03;bmo;0.81;0.68;19.98
2024-08-01;bmo;1.12;1.01;11.34
2024-10-30;bmo;1.02;0.9;13.26
2025-02-06;bmo;0.89;0.63;41.59
2025-04-30;bmo;0.73;0.65;12.06
2025-07-31;bmo;1.05;0.99;6.25
2025-10-30;bmo;1.07;1.01;5.57
2026-02-05;bmo;0.88;0.76;15.32
