date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-26;amc;0.23;0.21;9.82
2020-05-06;amc;-0.02;0.13;-115.59
2020-08-05;bmo;0.18;-0.05;453.43
2020-11-05;amc;0.34;0.16;112.74
2021-02-23;amc;0.32;0.24;33.27
2021-05-06;amc;0.41;0.16;149.85
2021-08-02;bmo;0.66;0.31;113.04
2021-11-04;amc;0.37;0.38;-3.04
2022-02-24;amc;0.27;0.23;16.23
2022-05-05;amc;0.18;0.2;-10.62
2022-08-04;amc;0.18;0.16;12.25
2022-11-03;amc;0.42;0.23;83.29
2023-02-23;amc;0.22;0.3;-27.01
2023-05-04;amc;0.4;0.34;17.42
2023-08-03;amc;0.39;0.37;5.66
2023-11-02;amc;0.55;0.46;18.75
2024-02-22;amc;0.45;0.57;-21.07
2024-05-02;amc;0.85;0.73;16.43
2024-08-01;amc;0.93;0.84;11.36
2024-11-07;amc;0.88;0.89;-1.33
2025-02-20;amc;0.71;0.87;-18.79
2025-05-01;amc;0.56;0.92;-38.85
2025-08-07;amc;0.62;0.66;-5.94
2025-11-06;amc;0.54;0.66;-18.09
2026-02-26;amc;0.19;0.59;-67.95
