date;timing;eps_actual;eps_estimated;surprise_pct
2020-03-04;amc;0.15;0.07;111.27
2020-06-02;amc;0.2;0.1;102.96
2020-08-31;amc;0.92;0.45;102.73
2020-11-30;amc;0.99;0.76;30.19
2021-03-01;amc;1.22;0.79;54.4
2021-06-01;amc;1.32;0.98;34.56
2021-08-30;amc;1.36;1.16;17.28
2021-11-22;amc;1.11;1.09;1.4
2022-02-28;amc;1.29;1.07;20.75
2022-05-23;amc;1.03;0.87;17.93
2022-08-22;amc;1.05;0.93;12.65
2022-11-21;amc;1.07;0.84;27.21
2023-02-27;amc;1.22;0.82;49.48
2023-05-22;amc;1.16;0.99;16.68
2023-08-21;amc;1.34;1.06;26.52
2023-11-20;amc;1.29;1.08;19.5
2024-02-26;amc;1.42;1.15;23.01
2024-05-20;amc;1.35;1.19;13.5
2024-08-21;amc;1.39;1.22;14.22
2024-11-25;amc;1.38;1.31;5.51
2025-02-24;amc;1.16;0.61;91.11
2025-05-21;amc;0.81;0.62;30.2
2025-08-21;amc;1.16;0.72;62.02
2025-11-24;amc;2.01;0.81;148.23
2026-02-25;amc;2.22;0.85;162.21
